Date,Predictions,True_label
2013-07-31,0,0
2010-07-14,1,1
2013-09-19,0,0
2012-12-27,1,1
2013-10-02,0,0
2013-04-05,0,1
2011-04-18,0,0
2010-01-28,1,0
2013-02-25,0,0
2012-06-13,1,1
2011-09-08,0,1
2012-03-21,0,0
2015-06-08,0,0
2012-02-23,1,1
2015-01-21,0,1
2013-01-03,1,1
2016-11-23,0,0
2015-09-11,0,0
2016-11-03,0,0
2016-07-14,1,1
2011-06-24,1,1
2012-10-17,1,0
2016-06-20,1,1
2012-07-30,0,0
2016-06-30,1,1
2015-04-17,0,0
2014-03-28,1,1
2013-09-12,1,1
2016-07-25,1,1
2010-06-11,0,0
2012-10-04,0,0
2011-10-18,1,1
2013-08-27,0,0
2013-04-04,0,0
2010-10-01,1,1
2011-03-30,0,0
2016-04-20,0,0
2016-11-14,0,0
2016-02-03,0,0
2014-10-15,1,1
2015-08-26,1,1
2013-04-29,0,0
2016-09-08,0,0
2014-03-21,0,0
2010-01-14,1,1
2014-07-07,0,0
2011-04-15,0,0
2011-03-04,0,0
2016-09-07,0,0
2010-04-29,1,1
2016-04-08,0,0
2015-02-04,0,0
2014-03-03,0,0
