"DateTime","Hagar Verð ","Hagar Magn"
"2014-04-03 18:00:00",42,300
"2014-04-04 18:00:00",42.05,3725262
"2014-04-07 18:00:00",42.25,139186
"2014-04-08 18:00:00",42.1,459593
"2014-04-09 18:00:00",42.3,2058592
"2014-04-10 18:00:00",42.2,602000
"2014-04-11 18:00:00",42.2,1648971
"2014-04-14 18:00:00",41.95,1158830
"2014-04-15 18:00:00",41.95,2531210
"2014-04-16 18:00:00",42.05,206144
"2014-04-22 18:00:00",41.95,402663
"2014-04-23 18:00:00",41.9,5095803
"2014-04-25 18:00:00",41.9,3185400
"2014-04-28 18:00:00",42.35,4619544
"2014-04-29 18:00:00",42.4,331147
"2014-04-30 18:00:00",42.1,5543013
"2014-05-02 18:00:00",42,1250000
"2014-05-05 18:00:00",42.35,406200
"2014-05-06 18:00:00",42.3,771742
"2014-05-07 18:00:00",42.1,191883
"2014-05-08 18:00:00",42.3,800000
"2014-05-09 18:00:00",42.6,1620750
"2014-05-12 18:00:00",42.5,4413050
"2014-05-13 18:00:00",42.35,2058037
"2014-05-14 18:00:00",42.4,235000
"2014-05-15 18:00:00",42.5,4090651
"2014-05-16 18:00:00",43,19367423
"2014-05-19 18:00:00",43,2862643
"2014-05-20 18:00:00",43.7,6587500
"2014-05-21 18:00:00",44.3,2272506
"2014-05-22 18:00:00",44.8,7628998
"2014-05-23 18:00:00",44.7,3460542
"2014-05-26 18:00:00",44.6,2340172
"2014-05-27 18:00:00",44.4,260278
"2014-05-28 18:00:00",44.35,7532538
"2014-05-30 18:00:00",44.6,1427000
"2014-06-02 18:00:00",45,3586894
"2014-06-03 18:00:00",44.9,2763200
"2014-06-04 18:00:00",45.35,933529
"2014-06-05 18:00:00",45.3,2695094
"2014-06-06 18:00:00",45,2005000
"2014-06-10 18:00:00",44.65,2805972
"2014-06-11 18:00:00",44.5,799314
"2014-06-12 18:00:00",44.6,9678415
"2014-06-13 18:00:00",44.3,1097637
"2014-06-16 18:00:00",44.475,3004735
"2014-06-18 18:00:00",44.7,1550453
"2014-06-19 18:00:00",44.8,4420500
"2014-06-20 18:00:00",44.75,2357101
"2014-06-23 18:00:00",44.45,2627105
"2014-06-24 18:00:00",44.6,1269093
"2014-06-25 18:00:00",44.75,3102250
"2014-06-26 18:00:00",44.55,138939
"2014-06-27 18:00:00",44.6,3977368
"2014-06-30 18:00:00",44.6,2550319
"2014-07-01 18:00:00",43.8,5022619
"2014-07-02 18:00:00",43.2,4657500
"2014-07-03 18:00:00",43.2,8512473
"2014-07-04 18:00:00",43.7,1320785
"2014-07-07 18:00:00",43.4,41900
"2014-07-08 18:00:00",43.3,2912315
"2014-07-09 18:00:00",42.65,1017335
"2014-07-10 18:00:00",42.65,720990
"2014-07-11 18:00:00",42.65,146498
"2014-07-14 18:00:00",43,1538333
"2014-07-15 18:00:00",42.5,1742000
"2014-07-16 18:00:00",42,6378752
"2014-07-17 18:00:00",41.85,2108144
"2014-07-18 18:00:00",42.05,1001200
"2014-07-21 18:00:00",42.35,86452
"2014-07-22 18:00:00",41.75,86000
"2014-07-23 18:00:00",41.75,67500
"2014-07-24 18:00:00",42.25,511806
"2014-07-25 18:00:00",41.8,202169
"2014-07-28 18:00:00",41.6,1720133
"2014-07-29 18:00:00",41.6,29629
"2014-07-30 18:00:00",41.6,47500
"2014-07-31 18:00:00",41.6,2732055
"2014-08-01 18:00:00",41.6,1005596
"2014-08-05 18:00:00",41.3,933333
"2014-08-06 18:00:00",41.3,25000
"2014-08-07 18:00:00",41.55,5000000
