"DateTime","Reginn Verð ","Reginn Magn"
"2013-06-05 18:00:00",12.45,6160000
"2013-06-06 18:00:00",12.9,345820000
"2013-06-07 18:00:00",12.95,144952
"2013-06-10 18:00:00",12.8,12345000
"2013-06-11 18:00:00",12.65,2100000
"2013-06-12 18:00:00",12.65,0
"2013-06-13 18:00:00",12.4,7550000
"2013-06-14 18:00:00",12.52,690700
"2013-06-18 18:00:00",12.25,550000
"2013-06-19 18:00:00",12.35,6508000
"2013-06-20 18:00:00",12.35,4500000
"2013-06-21 18:00:00",12.3,4000000
"2013-06-24 18:00:00",12.38,1934950
"2013-06-25 18:00:00",12.4,3000000
"2013-06-26 18:00:00",12.4,10000
"2013-06-27 18:00:00",12.37,5725000
"2013-06-28 18:00:00",12.37,237235
"2013-07-01 18:00:00",12.35,1100000
"2013-07-02 18:00:00",12.46,4133903
"2013-07-03 18:00:00",12.46,0
"2013-07-04 18:00:00",12.33,2507241
"2013-07-05 18:00:00",12.27,620071
"2013-07-08 18:00:00",12.42,16300
"2013-07-09 18:00:00",12.25,512196
"2013-07-10 18:00:00",12.26,538336
"2013-07-11 18:00:00",12.44,4346515
"2013-07-12 18:00:00",12.49,880000
"2013-07-15 18:00:00",12.49,0
"2013-07-16 18:00:00",12.36,12196
"2013-07-17 18:00:00",12.55,4027135
"2013-07-18 18:00:00",12.68,5529269
"2013-07-19 18:00:00",12.75,4088648
"2013-07-22 18:00:00",12.79,35000
"2013-07-23 18:00:00",12.86,2000000
"2013-07-24 18:00:00",12.88,656000
"2013-07-25 18:00:00",12.87,524696
"2013-07-26 18:00:00",12.8,6644115
"2013-07-29 18:00:00",12.8,0
"2013-07-30 18:00:00",12.8,0
"2013-07-31 18:00:00",12.91,5500000
"2013-08-01 18:00:00",13.06,2547809
"2013-08-02 18:00:00",13.06,6702392
"2013-08-06 18:00:00",13.145,495342
"2013-08-07 18:00:00",13.15,3466098
"2013-08-08 18:00:00",13.24,1318196
"2013-08-09 18:00:00",13.23,457914
"2013-08-12 18:00:00",13.15,130729
"2013-08-13 18:00:00",13.1,5794636
"2013-08-14 18:00:00",13.12,810386
"2013-08-15 18:00:00",13.15,189586
"2013-08-16 18:00:00",13.1,5060976
"2013-08-19 18:00:00",13.1,0
"2013-08-20 18:00:00",13.2,857500
"2013-08-21 18:00:00",13.22,37821
"2013-08-22 18:00:00",13.28,547241
"2013-08-23 18:00:00",13.2,870693
"2013-08-26 18:00:00",13.15,107388
"2013-08-27 18:00:00",13.39,3000000
"2013-08-28 18:00:00",13.4,16213518
"2013-08-29 18:00:00",13.42,3000000
"2013-08-30 18:00:00",13.31,100000
"2013-09-02 18:00:00",13.58,1500000
"2013-09-03 18:00:00",13.67,1000000
"2013-09-04 18:00:00",13.75,7527000
"2013-09-05 18:00:00",14,10356388
"2013-09-06 18:00:00",13.95,3500000
"2013-09-09 18:00:00",13.81,2500000
"2013-09-10 18:00:00",13.81,0
"2013-09-11 18:00:00",13.84,621000
"2013-09-12 18:00:00",13.71,74150
"2013-09-13 18:00:00",14.05,56609304
"2013-09-16 18:00:00",14.06,1118293
"2013-09-17 18:00:00",13.81,1043187
"2013-09-18 18:00:00",13.9,2000000
"2013-09-19 18:00:00",13.9,0
"2013-09-20 18:00:00",13.95,1000000
"2013-09-23 18:00:00",13.72,3045000
"2013-09-24 18:00:00",13.8,1060000
"2013-09-25 18:00:00",13.81,5555000
"2013-09-26 18:00:00",13.81,0
"2013-09-27 18:00:00",13.83,500000
"2013-09-30 18:00:00",13.72,504000
"2013-10-01 18:00:00",13.72,0
