"DateTime","Icelandair Group Verð ","Icelandair Group Magn"
"2008-02-07 18:00:00",26.45,1656437
"2008-02-08 18:00:00",26.45,42222
"2008-02-11 18:00:00",26.15,515000
"2008-02-12 18:00:00",26.5,1538743
"2008-02-13 18:00:00",26.55,105390
"2008-02-14 18:00:00",26.35,1015000
"2008-02-15 18:00:00",26.1,1116322
"2008-02-18 18:00:00",26.45,1539348
"2008-02-19 18:00:00",26.1,1505581
"2008-02-20 18:00:00",25.7,1015000
"2008-02-21 18:00:00",25.8,2200000
"2008-02-22 18:00:00",25.3,4052067
"2008-02-25 18:00:00",25.2,3121640
"2008-02-26 18:00:00",25.1,469000
"2008-02-27 18:00:00",25.2,9356
"2008-02-28 18:00:00",25.1,255000
"2008-02-29 18:00:00",25.2,15000
"2008-03-03 18:00:00",25,20000
"2008-03-04 18:00:00",25,500000
"2008-03-05 18:00:00",24.9,15000
"2008-03-06 18:00:00",24.9,0
"2008-03-07 18:00:00",24.8,22065000
"2008-03-10 18:00:00",24.7,1030000
"2008-03-11 18:00:00",25.05,680968
"2008-03-12 18:00:00",24.95,5000
"2008-03-13 18:00:00",24.85,80000
"2008-03-14 18:00:00",24.9,1031412
"2008-03-17 18:00:00",24.25,1570403
"2008-03-18 18:00:00",24.3,20207518
"2008-03-19 18:00:00",23.8,1772632
"2008-03-20 18:00:00",23.8,1
"2008-03-21 18:00:00",23.8,1
"2008-03-24 18:00:00",23.8,1
"2008-03-25 18:00:00",24.4,1560000
"2008-03-26 18:00:00",24.2,1025000
"2008-03-27 18:00:00",24.6,2056850
"2008-03-28 18:00:00",24.6,62408
"2008-03-31 18:00:00",25,566213
"2008-04-01 18:00:00",24.5,1085000
"2008-04-02 18:00:00",24.55,614023
"2008-04-03 18:00:00",24.6,5660000
"2008-04-04 18:00:00",24.5,1532067
"2008-04-07 18:00:00",24.45,10000
"2008-04-08 18:00:00",24.2,950000
"2008-04-09 18:00:00",24.3,50000
"2008-04-10 18:00:00",24.25,25000
"2008-04-11 18:00:00",24,1552934
"2008-04-14 18:00:00",24.35,2521111
"2008-04-15 18:00:00",24.2,1092593
"2008-04-16 18:00:00",24.3,134185
"2008-04-17 18:00:00",24.2,1088000
"2008-04-18 18:00:00",24.1,500000
"2008-04-21 18:00:00",24.1,0
"2008-04-22 18:00:00",23.95,1550000
"2008-04-23 18:00:00",23.3,2002500
"2008-04-24 18:00:00",23.3,0
"2008-04-25 18:00:00",23.1,2020000
"2008-04-28 18:00:00",23,120000
"2008-04-29 18:00:00",22.1,4222407
"2008-04-30 18:00:00",21.7,1025222
"2008-05-01 18:00:00",21.7,0
"2008-05-02 18:00:00",21.8,575000
