"DateTime","N1 Verð ","N1 Magn"
"2014-11-06 18:00:00",19.35,3512054
"2014-11-07 18:00:00",19.4,2024108
"2014-11-10 18:00:00",19.3,3072322
"2014-11-11 18:00:00",19.425,2036161
"2014-11-12 18:00:00",19.35,793215
"2014-11-13 18:00:00",19.5,2482463
"2014-11-14 18:00:00",19.45,60269
"2014-11-17 18:00:00",19.55,2290322
"2014-11-18 18:00:00",19.55,1657746
"2014-11-19 18:00:00",19.65,7094602
"2014-11-20 18:00:00",19.7,1937414
"2014-11-21 18:00:00",19.75,10966829
"2014-11-24 18:00:00",20,6093766
"2014-11-25 18:00:00",20.3,13131729
"2014-11-26 18:00:00",20,9512468
"2014-11-27 18:00:00",22.7,6167443
"2014-11-28 18:00:00",22.7,8316876
"2014-12-01 18:00:00",22.4,4499088
"2014-12-02 18:00:00",23.45,15269084
"2014-12-03 18:00:00",23.7,6642417
"2014-12-04 18:00:00",24.05,10867835
"2014-12-05 18:00:00",24.2,6149999
"2014-12-08 18:00:00",24.15,572437
"2014-12-09 18:00:00",23.5,10022217
"2014-12-10 18:00:00",24.15,15359119
"2014-12-11 18:00:00",24.15,5158956
"2014-12-12 18:00:00",24.15,3449698
"2014-12-15 18:00:00",24.15,1250412
"2014-12-16 18:00:00",23.85,2348770
"2014-12-17 18:00:00",23.45,2355687
"2014-12-18 18:00:00",23.2,8641308
"2014-12-19 18:00:00",23.4,4056236
"2014-12-22 18:00:00",23.4,627127
"2014-12-23 18:00:00",23.3,501711
"2014-12-29 18:00:00",23.3,33752
"2014-12-30 18:00:00",23.2,2952233
"2015-01-02 18:00:00",23,4729422
"2015-01-05 18:00:00",23.5,8114061
"2015-01-06 18:00:00",23.5,5595350
"2015-01-07 18:00:00",23.6,2449947
"2015-01-08 18:00:00",23.65,679984
"2015-01-09 18:00:00",23.65,3086507
"2015-01-12 18:00:00",23.55,2286111
"2015-01-13 18:00:00",23.75,5609186
"2015-01-14 18:00:00",23.7,1067933
"2015-01-15 18:00:00",23.6,122948
"2015-01-16 18:00:00",23.55,4745311
"2015-01-19 18:00:00",23.3,4824503
"2015-01-20 18:00:00",23.4,212648
"2015-01-21 18:00:00",23.3,533399
"2015-01-22 18:00:00",23.3,439248
"2015-01-23 18:00:00",23.6,9134537
"2015-01-26 18:00:00",23.6,3909339
"2015-01-27 18:00:00",23.55,3605311
"2015-01-28 18:00:00",23.5,3072406
"2015-01-29 18:00:00",23.5,1681000
"2015-01-30 18:00:00",23.5,747017
"2015-02-02 18:00:00",23.75,9109643
"2015-02-03 18:00:00",24,208438
"2015-02-04 18:00:00",23.9,3016876
"2015-02-05 18:00:00",24.1,4165127
"2015-02-06 18:00:00",23.8,181100
"2015-02-09 18:00:00",23.8,298314
"2015-02-10 18:00:00",23.85,2806150
"2015-02-11 18:00:00",23.9,4417690
"2015-02-12 18:00:00",24,4113278
"2015-02-13 18:00:00",24,4008437
"2015-02-16 18:00:00",23.9,1741258
"2015-02-17 18:00:00",24.1,7844997
"2015-02-18 18:00:00",24.05,4000000
"2015-02-19 18:00:00",24.775,21919758
"2015-02-20 18:00:00",24.75,6908438
"2015-02-23 18:00:00",24.8,200000
"2015-02-24 18:00:00",24.9,8261954
"2015-02-25 18:00:00",25.25,11184513
"2015-02-26 18:00:00",26.8,37443242
"2015-02-27 18:00:00",27,21914438
"2015-03-02 18:00:00",27.1,4900135
"2015-03-03 18:00:00",27.35,13008438
"2015-03-04 18:00:00",28.95,19619443
"2015-03-05 18:00:00",28.9,6681087
"2015-03-06 18:00:00",28.75,293809
"2015-03-09 18:00:00",28.8,1016076
"2015-03-10 18:00:00",28.75,3234638
"2015-03-11 18:00:00",28.6,1215300
"2015-03-12 18:00:00",28.6,198932
"2015-03-13 18:00:00",28.9,63438
"2015-03-16 18:00:00",28.65,114000
"2015-03-17 18:00:00",28.6,1264768
"2015-03-18 18:00:00",28.55,308438
"2015-03-19 18:00:00",28.55,3734416
"2015-03-20 18:00:00",28.55,177137
"2015-03-23 18:00:00",28.55,576375
"2015-03-24 18:00:00",27.5,3260443
"2015-03-25 18:00:00",27,7388226
"2015-03-26 18:00:00",27,739721
"2015-03-27 18:00:00",27,1179357
"2015-03-30 18:00:00",26.8,1124339
"2015-03-31 18:00:00",26.825,8110306
"2015-04-01 18:00:00",26.4,7039276
"2015-04-07 18:00:00",26.4,2863574
"2015-04-08 18:00:00",26.4,84193
"2015-04-09 18:00:00",26.4,17575
"2015-04-10 18:00:00",26.4,2013394
"2015-04-13 18:00:00",26.35,2800000
"2015-04-14 18:00:00",26.25,2957162
"2015-04-15 18:00:00",26.25,646438
"2015-04-16 18:00:00",26.3,1136468
"2015-04-17 18:00:00",26.1,278133
"2015-04-20 18:00:00",26.2,3000000
"2015-04-21 18:00:00",26.25,1119637
"2015-04-22 18:00:00",26.15,21000
"2015-04-24 18:00:00",25.95,3686077
"2015-04-27 18:00:00",26,4460000
"2015-04-28 18:00:00",26,176514
"2015-04-29 18:00:00",25.95,583332
"2015-04-30 18:00:00",26,2625809
"2015-05-04 18:00:00",26,1025314
"2015-05-05 18:00:00",25.95,260982
"2015-05-06 18:00:00",26.35,6091094
"2015-05-07 18:00:00",33,3690397
"2015-05-08 18:00:00",32.9,3265411
"2015-05-11 18:00:00",32.75,533411
"2015-05-12 18:00:00",33.85,17732669
"2015-05-13 18:00:00",34.05,9204176
"2015-05-15 18:00:00",34.45,6630565
"2015-05-18 18:00:00",34.25,795417
"2015-05-19 18:00:00",34.7,6065325
"2015-05-20 18:00:00",34.6,2078651
"2015-05-21 18:00:00",34.65,425356
"2015-05-22 18:00:00",34.35,3415613
"2015-05-26 18:00:00",34.45,3466495
"2015-05-27 18:00:00",34.95,3753429
"2015-05-28 18:00:00",36.725,21635888
"2015-05-29 18:00:00",36.3,12696153
"2015-06-01 18:00:00",36.3,606428
"2015-06-02 18:00:00",36.15,22477
"2015-06-03 18:00:00",36.8,5672898
"2015-06-04 18:00:00",36.25,9747074
"2015-06-05 18:00:00",36.45,361518
"2015-06-08 18:00:00",37,4642729
"2015-06-09 18:00:00",37.4,3223993
"2015-06-10 18:00:00",37.55,4912000
"2015-06-11 18:00:00",37.45,2160000
"2015-06-12 18:00:00",37.45,92636
"2015-06-15 18:00:00",37.1,110941
"2015-06-16 18:00:00",37.4,2685941
"2015-06-18 18:00:00",37.4,2505666
"2015-06-19 18:00:00",37.7,5304729
"2015-06-22 18:00:00",37.5,19320
"2015-06-23 18:00:00",38.05,2523477
"2015-06-24 18:00:00",38.05,1021332
"2015-06-25 18:00:00",38,1005991
"2015-06-26 18:00:00",38.6,8705849
"2015-06-29 18:00:00",38.6,10700618
"2015-06-30 18:00:00",38.6,158357
"2015-07-01 18:00:00",38.6,120038
"2015-07-02 18:00:00",38.6,2978521
"2015-07-03 18:00:00",38.6,2505666
"2015-07-06 18:00:00",38.75,21921
"2015-07-07 18:00:00",38.45,188000
"2015-07-08 18:00:00",38.6,513166
"2015-07-09 18:00:00",38.9,4789586
"2015-07-10 18:00:00",39.5,13340600
"2015-07-13 18:00:00",39.45,6047515
"2015-07-14 18:00:00",39.4,1518416
"2015-07-15 18:00:00",39.45,239778
"2015-07-16 18:00:00",39,236218
"2015-07-17 18:00:00",39.3,4000
"2015-07-20 18:00:00",38.95,16032
"2015-07-21 18:00:00",39.45,317295
"2015-07-22 18:00:00",39.45,0
"2015-07-23 18:00:00",39.05,13266
"2015-07-24 18:00:00",39.05,50000
"2015-07-27 18:00:00",39.55,1465332
"2015-07-28 18:00:00",40.2,8400411
"2015-07-29 18:00:00",41.5,9917150
"2015-07-30 18:00:00",41.9,118046
"2015-07-31 18:00:00",41.9,8375596
"2015-08-04 18:00:00",41.7,9574
"2015-08-05 18:00:00",42.1,3543103
"2015-08-06 18:00:00",42.2,78334
"2015-08-07 18:00:00",42.1,511356
"2015-08-10 18:00:00",41.95,511200
"2015-08-11 18:00:00",41.95,371332
"2015-08-12 18:00:00",42.1,2120747
"2015-08-13 18:00:00",42,6394800
"2015-08-14 18:00:00",42.4,5873520
"2015-08-17 18:00:00",42.8,2097166
"2015-08-18 18:00:00",42.8,155900
"2015-08-19 18:00:00",42.9,2010336
"2015-08-20 18:00:00",43.8,12586887
"2015-08-21 18:00:00",43.4,175332
"2015-08-24 18:00:00",42.3,9014034
"2015-08-25 18:00:00",41.7,1911837
"2015-08-26 18:00:00",41.5,2313000
"2015-08-27 18:00:00",41.85,1487670
"2015-08-28 18:00:00",41.75,3406997
"2015-08-31 18:00:00",41.6,2348924
"2015-09-01 18:00:00",41.4,3062809
"2015-09-02 18:00:00",41.5,500000
"2015-09-03 18:00:00",41.475,60000
"2015-09-04 18:00:00",41.8,2002800
"2015-09-07 18:00:00",42.2,9874914
"2015-09-08 18:00:00",42.6,8113508
"2015-09-09 18:00:00",42.6,3800000
"2015-09-10 18:00:00",42.7,470483
"2015-09-11 18:00:00",42.7,0
"2015-09-14 18:00:00",42.7,0
"2015-09-15 18:00:00",42.15,1150662
"2015-09-16 18:00:00",42.7,1749664
"2015-09-17 18:00:00",42.7,136900
"2015-09-18 18:00:00",42.25,1005666
"2015-09-21 18:00:00",42.2,32938
"2015-09-22 18:00:00",42.25,522000
"2015-09-23 18:00:00",42.8,2002603
"2015-09-24 18:00:00",42.5,3509935
"2015-09-25 18:00:00",42.9,2567662
"2015-09-28 18:00:00",43.95,5935690
"2015-09-29 18:00:00",43.3,9596800
"2015-09-30 18:00:00",43.3,10065991
"2015-10-01 18:00:00",43.2,9911500
"2015-10-02 18:00:00",43.85,9795596
"2015-10-05 18:00:00",43.9,2009975
"2015-10-06 18:00:00",44,2668655
"2015-10-07 18:00:00",43.65,11695694
"2015-10-08 18:00:00",43.5,2858695
"2015-10-09 18:00:00",43.3,248663
"2015-10-12 18:00:00",43.75,4517000
"2015-10-13 18:00:00",43.65,1778839
"2015-10-14 18:00:00",43.35,6705566
"2015-10-15 18:00:00",43.85,11995
"2015-10-16 18:00:00",43.8,1000000
"2015-10-19 18:00:00",43.7,4963832
"2015-10-20 18:00:00",43.7,620750
"2015-10-21 18:00:00",43.6,4298000
"2015-10-22 18:00:00",43.3,169536
"2015-10-23 18:00:00",43.3,1023857
"2015-10-26 18:00:00",43.8,4663452
"2015-10-27 18:00:00",43.8,1005666
"2015-10-28 18:00:00",44,65381
"2015-10-29 18:00:00",45.4,10819403
"2015-10-30 18:00:00",43.95,11412389
"2015-11-02 18:00:00",43.35,80136
"2015-11-03 18:00:00",43.3,1521045
"2015-11-04 18:00:00",43.3,6502725
"2015-11-05 18:00:00",43.2,21734841
"2015-11-06 18:00:00",43.7,3847873
"2015-11-09 18:00:00",43.3,1027716
"2015-11-10 18:00:00",43.6,430000
"2015-11-11 18:00:00",43,2395101
"2015-11-12 18:00:00",42.7,2007009
"2015-11-13 18:00:00",43.1,2052756
"2015-11-16 18:00:00",43.1,0
"2015-11-17 18:00:00",42.3,2091666
"2015-11-18 18:00:00",42,65666
"2015-11-19 18:00:00",42,1073000
"2015-11-20 18:00:00",42,55000
"2015-11-23 18:00:00",42.1,1981283
"2015-11-24 18:00:00",42.1,5666
"2015-11-25 18:00:00",42.25,57800
"2015-11-26 18:00:00",42.25,0
"2015-11-27 18:00:00",42.2,49572
"2015-11-30 18:00:00",41.3,8480072
"2015-12-01 18:00:00",41.05,30113
"2015-12-02 18:00:00",40.6,51097
"2015-12-03 18:00:00",40.9,19398
"2015-12-04 18:00:00",40.9,12500
"2015-12-07 18:00:00",40.9,100000
"2015-12-08 18:00:00",41,4285122
"2015-12-09 18:00:00",40.9,1000000
"2015-12-10 18:00:00",40.8,55000
"2015-12-11 18:00:00",40.85,11332
"2015-12-14 18:00:00",40.8,1466753
"2015-12-15 18:00:00",41.3,4011722
"2015-12-16 18:00:00",41.3,1428554
"2015-12-17 18:00:00",50.9,1064809
"2015-12-18 18:00:00",51.3,2972657
"2015-12-21 18:00:00",51.3,10888
"2015-12-22 18:00:00",51.3,38610
"2015-12-23 18:00:00",51.5,2263775
"2015-12-28 18:00:00",51.6,1558417
"2015-12-29 18:00:00",52,1077627
"2015-12-30 18:00:00",52,685228
"2016-01-04 18:00:00",52,1675437
"2016-01-05 18:00:00",51.5,98712
"2016-01-06 18:00:00",51.5,2571981
"2016-01-07 18:00:00",50.8,3248900
