"DateTime","Eimskipafélag Íslands Verð ","Eimskipafélag Íslands Magn"
"2013-03-05 18:00:00",273,3454221
"2013-03-06 18:00:00",276,1414626
"2013-03-07 18:00:00",274.5,262304
"2013-03-08 18:00:00",273.5,239308
"2013-03-11 18:00:00",274,2283995
"2013-03-12 18:00:00",279,1188497
"2013-03-13 18:00:00",278,972269
"2013-03-14 18:00:00",278,806780
"2013-03-15 18:00:00",280,752900
"2013-03-18 18:00:00",280.5,170944
"2013-03-19 18:00:00",279.5,329271
"2013-03-20 18:00:00",280.5,15664
"2013-03-21 18:00:00",281,1556057
"2013-03-22 18:00:00",280.5,779281
"2013-03-25 18:00:00",280,174347
"2013-03-26 18:00:00",278.5,373738
"2013-03-27 18:00:00",280.5,235928
"2013-04-02 18:00:00",281,42465
"2013-04-03 18:00:00",276,833244
"2013-04-04 18:00:00",273,392263
"2013-04-05 18:00:00",272.5,624515
"2013-04-08 18:00:00",272,22066
"2013-04-09 18:00:00",275,61750
"2013-04-10 18:00:00",275.5,2116156
"2013-04-11 18:00:00",276.5,3482060
"2013-04-12 18:00:00",266.5,1505910
"2013-04-15 18:00:00",267,1090724
"2013-04-16 18:00:00",274,1168181
"2013-04-17 18:00:00",276,722306
"2013-04-18 18:00:00",276.5,822119
"2013-04-19 18:00:00",276,2494774
"2013-04-22 18:00:00",272,10484016
"2013-04-23 18:00:00",269,294693
"2013-04-24 18:00:00",270,950656
"2013-04-26 18:00:00",275.5,1043049
"2013-04-29 18:00:00",267,819176
"2013-04-30 18:00:00",266.5,289885
"2013-05-02 18:00:00",267,82597
"2013-05-03 18:00:00",267.5,204745
"2013-05-06 18:00:00",265,956723
"2013-05-07 18:00:00",270,953813
"2013-05-08 18:00:00",269,429841
"2013-05-10 18:00:00",270,509730
"2013-05-13 18:00:00",264,603772
"2013-05-14 18:00:00",263,706825
"2013-05-15 18:00:00",260,481965
"2013-05-16 18:00:00",259,4705429
"2013-05-17 18:00:00",262,409200
"2013-05-21 18:00:00",260,151924
"2013-05-22 18:00:00",260,16248
"2013-05-23 18:00:00",256.5,299140
"2013-05-24 18:00:00",261.5,499512
"2013-05-27 18:00:00",258,116594
"2013-05-28 18:00:00",257,362267
"2013-05-29 18:00:00",255,296163
"2013-05-30 18:00:00",252.5,241619
"2013-05-31 18:00:00",252,279312
"2013-06-03 18:00:00",252,7287
"2013-06-04 18:00:00",252,66045
"2013-06-05 18:00:00",248,518753
"2013-06-06 18:00:00",251,207839
"2013-06-07 18:00:00",251.25,355727
"2013-06-10 18:00:00",251.5,133460
"2013-06-11 18:00:00",250.5,419112
"2013-06-12 18:00:00",251,209908
"2013-06-13 18:00:00",251,400738
"2013-06-14 18:00:00",253.5,798932
"2013-06-18 18:00:00",261,816808
"2013-06-19 18:00:00",261.5,759059
"2013-06-20 18:00:00",260,255955
"2013-06-21 18:00:00",263.5,283208
"2013-06-24 18:00:00",264,453790
"2013-06-25 18:00:00",266,593812
"2013-06-26 18:00:00",269.5,421745
"2013-06-27 18:00:00",268.5,517259
"2013-06-28 18:00:00",269,209841
"2013-07-01 18:00:00",268,7285
"2013-07-02 18:00:00",272,1036950
"2013-07-03 18:00:00",272,430911
"2013-07-04 18:00:00",270,254147
"2013-07-05 18:00:00",272.5,655000
"2013-07-08 18:00:00",274,2565
"2013-07-09 18:00:00",274,0
"2013-07-10 18:00:00",271,566568
"2013-07-11 18:00:00",273.5,794385
"2013-07-12 18:00:00",274,156044
"2013-07-15 18:00:00",272,22242
"2013-07-16 18:00:00",273,230982
"2013-07-17 18:00:00",273,2609
"2013-07-18 18:00:00",276,734567
"2013-07-19 18:00:00",274,25645
"2013-07-22 18:00:00",274,1176
"2013-07-23 18:00:00",275,163209
"2013-07-24 18:00:00",273.5,7586
"2013-07-25 18:00:00",273.5,4808
"2013-07-26 18:00:00",274,37569
"2013-07-29 18:00:00",274,0
"2013-07-30 18:00:00",273.5,153148
"2013-07-31 18:00:00",273.5,9000
"2013-08-01 18:00:00",274,289128
"2013-08-02 18:00:00",276,76709
"2013-08-06 18:00:00",277.5,62012
"2013-08-07 18:00:00",275,34049
"2013-08-08 18:00:00",274.5,684790
"2013-08-09 18:00:00",273,15107
"2013-08-12 18:00:00",273,20000
"2013-08-13 18:00:00",272,206044
"2013-08-14 18:00:00",266,700813
"2013-08-15 18:00:00",265,532139
"2013-08-16 18:00:00",260,252500
"2013-08-19 18:00:00",260,427332
"2013-08-20 18:00:00",260,51000
"2013-08-21 18:00:00",258.5,681958
"2013-08-22 18:00:00",255.5,296446
"2013-08-23 18:00:00",256,592583
"2013-08-26 18:00:00",255,462350
"2013-08-27 18:00:00",250.5,543787
"2013-08-28 18:00:00",250,277447
"2013-08-29 18:00:00",251,104000
"2013-08-30 18:00:00",240.5,619511
"2013-09-02 18:00:00",237.5,378938
"2013-09-03 18:00:00",236.5,442865
"2013-09-04 18:00:00",236,19170
"2013-09-05 18:00:00",234,326377
"2013-09-06 18:00:00",226.5,1003823
"2013-09-09 18:00:00",228,364738
"2013-09-10 18:00:00",222,1040559
"2013-09-11 18:00:00",221,139355
"2013-09-12 18:00:00",225,754165
"2013-09-13 18:00:00",231.5,167753
"2013-09-16 18:00:00",231,12954
"2013-09-17 18:00:00",231,44273
"2013-09-18 18:00:00",227.5,60625
"2013-09-19 18:00:00",224,105000
"2013-09-20 18:00:00",225,3105
"2013-09-23 18:00:00",226,105785
"2013-09-24 18:00:00",226,125929
"2013-09-25 18:00:00",226,516615
"2013-09-26 18:00:00",224,12779
"2013-09-27 18:00:00",227,362628
"2013-09-30 18:00:00",224,5816
"2013-10-01 18:00:00",224.5,100962
"2013-10-02 18:00:00",224,219808
"2013-10-03 18:00:00",224,254808
"2013-10-04 18:00:00",225.5,4397
"2013-10-07 18:00:00",224.5,1806
"2013-10-08 18:00:00",224.5,2450
"2013-10-09 18:00:00",225,1624
"2013-10-10 18:00:00",227,387518
"2013-10-11 18:00:00",227.5,281306
"2013-10-14 18:00:00",226.5,12420
"2013-10-15 18:00:00",227.5,8500
"2013-10-16 18:00:00",226,689164
"2013-10-17 18:00:00",224,127460
"2013-10-18 18:00:00",225,660887
"2013-10-21 18:00:00",225,61707
"2013-10-22 18:00:00",226.5,85000
"2013-10-23 18:00:00",226.5,0
"2013-10-24 18:00:00",227.5,857720
"2013-10-25 18:00:00",228,206291
"2013-10-28 18:00:00",226,9657
"2013-10-29 18:00:00",226.5,80454
"2013-10-30 18:00:00",228,302404
"2013-10-31 18:00:00",227.5,883984
"2013-11-01 18:00:00",230,642453
"2013-11-04 18:00:00",227.5,253458
"2013-11-05 18:00:00",228,29808
"2013-11-06 18:00:00",227.5,96808
"2013-11-07 18:00:00",230,232885
"2013-11-08 18:00:00",231.5,152636
"2013-11-11 18:00:00",229,103000
"2013-11-12 18:00:00",230.5,84883
"2013-11-13 18:00:00",234,933445
"2013-11-14 18:00:00",233,131085
"2013-11-15 18:00:00",231.5,65650
"2013-11-18 18:00:00",235,125000
"2013-11-19 18:00:00",235,252404
"2013-11-20 18:00:00",238,813600
"2013-11-21 18:00:00",237,481308
"2013-11-22 18:00:00",240.5,1436330
"2013-11-25 18:00:00",240.5,381042
"2013-11-26 18:00:00",241,15861
"2013-11-27 18:00:00",243,204808
"2013-11-28 18:00:00",246,454018
"2013-11-29 18:00:00",246,14100
"2013-12-02 18:00:00",247,201695
"2013-12-03 18:00:00",247.5,279452
"2013-12-04 18:00:00",250,809906
"2013-12-05 18:00:00",251,603279
"2013-12-06 18:00:00",256.5,674000
"2013-12-09 18:00:00",257,241916
"2013-12-10 18:00:00",258,97400
"2013-12-11 18:00:00",257,3500
"2013-12-12 18:00:00",252.5,363300
"2013-12-13 18:00:00",252.5,5938
"2013-12-16 18:00:00",253,11998324
"2013-12-17 18:00:00",253,6394
"2013-12-18 18:00:00",252.75,334631
"2013-12-19 18:00:00",251.5,280221
"2013-12-20 18:00:00",258.5,434164
"2013-12-23 18:00:00",256,103808
"2013-12-27 18:00:00",260,223147
"2013-12-30 18:00:00",262,633455
"2014-01-02 18:00:00",265.5,461058
"2014-01-03 18:00:00",268.5,944608
"2014-01-06 18:00:00",266,82780
"2014-01-07 18:00:00",264.5,179578
"2014-01-08 18:00:00",260.5,586524
"2014-01-09 18:00:00",258.5,229177
"2014-01-10 18:00:00",258.5,505485
"2014-01-13 18:00:00",258,247965
"2014-01-14 18:00:00",255.5,23210
"2014-01-15 18:00:00",253,371598
"2014-01-16 18:00:00",256,414140
"2014-01-17 18:00:00",256.5,283560
"2014-01-20 18:00:00",256.5,0
"2014-01-21 18:00:00",256.75,69600
"2014-01-22 18:00:00",256,350550
"2014-01-23 18:00:00",256.5,11808
"2014-01-24 18:00:00",254,127904
"2014-01-27 18:00:00",252,93877
"2014-01-28 18:00:00",251,102240
"2014-01-29 18:00:00",248.5,282700
"2014-01-30 18:00:00",247.5,621569
"2014-01-31 18:00:00",247,214787
"2014-02-03 18:00:00",249,416045
"2014-02-04 18:00:00",253.5,272208
"2014-02-05 18:00:00",254,121594
"2014-02-06 18:00:00",253.25,105238
"2014-02-07 18:00:00",248.5,206670
"2014-02-10 18:00:00",248.5,408900
"2014-02-11 18:00:00",252,473932
"2014-02-12 18:00:00",251.5,329583
"2014-02-13 18:00:00",250.5,45000
"2014-02-14 18:00:00",251,42324
"2014-02-17 18:00:00",250,430772
"2014-02-18 18:00:00",248.5,224808
"2014-02-19 18:00:00",248.5,0
"2014-02-20 18:00:00",247.5,122287
"2014-02-21 18:00:00",247.5,73820
"2014-02-24 18:00:00",245,73973
