"DateTime","Reitir fasteignafélag Verð ","Reitir fasteignafélag Magn"
"2016-02-12 18:00:00",82.5,4975559
"2016-02-15 18:00:00",81.6,152439
"2016-02-16 18:00:00",81.8,273787
"2016-02-17 18:00:00",82.8,3949228
"2016-02-18 18:00:00",83.8,2424391
"2016-02-19 18:00:00",83.7,2429724
"2016-02-22 18:00:00",84.2,1477130
"2016-02-23 18:00:00",83.7,2238156
"2016-02-24 18:00:00",84.05,1900000
"2016-02-25 18:00:00",84.6,300123
"2016-02-26 18:00:00",84.5,5617498
"2016-02-29 18:00:00",84.75,229450
"2016-03-01 18:00:00",85.5,366943
"2016-03-02 18:00:00",85.1,2007874
"2016-03-03 18:00:00",84.6,3650000
"2016-03-04 18:00:00",85.2,345200
"2016-03-07 18:00:00",84.8,724224
"2016-03-08 18:00:00",84.8,1900000
"2016-03-09 18:00:00",84.95,597475
"2016-03-10 18:00:00",85.2,100000
"2016-03-11 18:00:00",84.8,700000
"2016-03-14 18:00:00",84.2,131023
"2016-03-15 18:00:00",84.2,7874
"2016-03-16 18:00:00",85,568950
"2016-03-17 18:00:00",84,32174
"2016-03-18 18:00:00",84,724874
"2016-03-21 18:00:00",83.5,57681
"2016-03-22 18:00:00",83.3,1065748
"2016-03-23 18:00:00",84.05,1000000
"2016-03-29 18:00:00",84.4,4256
"2016-03-30 18:00:00",84.45,3657242
"2016-03-31 18:00:00",85.2,15312
"2016-04-01 18:00:00",85.9,2957874
"2016-04-04 18:00:00",87,3711343
"2016-04-05 18:00:00",87,4559108
"2016-04-06 18:00:00",86.1,3434007
"2016-04-07 18:00:00",87,2967000
"2016-04-08 18:00:00",87.3,33000
"2016-04-11 18:00:00",87.05,23000
"2016-04-12 18:00:00",86.6,1541723
"2016-04-13 18:00:00",87.45,6210185
"2016-04-14 18:00:00",87.8,1633385
"2016-04-15 18:00:00",87.85,2863298
"2016-04-18 18:00:00",88.3,404615
"2016-04-19 18:00:00",88.15,215748
"2016-04-20 18:00:00",88.5,2691802
"2016-04-22 18:00:00",87.9,5000
"2016-04-25 18:00:00",87.9,43129
"2016-04-26 18:00:00",87.8,300766
"2016-04-27 18:00:00",87.7,740810
"2016-04-28 18:00:00",87.7,4151874
"2016-04-29 18:00:00",86.5,5250460
"2016-05-02 18:00:00",85,2402600
"2016-05-03 18:00:00",86.5,1472702
"2016-05-04 18:00:00",86.6,4001348
"2016-05-06 18:00:00",87.6,352000
"2016-05-09 18:00:00",86.8,69374
"2016-05-10 18:00:00",87,7874
"2016-05-11 18:00:00",88,30499
"2016-05-12 18:00:00",87.8,1113870
"2016-05-13 18:00:00",86.9,1502774
"2016-05-17 18:00:00",86.8,847937
"2016-05-18 18:00:00",86.8,2687116
"2016-05-19 18:00:00",85.8,1450000
"2016-05-20 18:00:00",83.9,2383690
"2016-05-23 18:00:00",82.4,2756299
"2016-05-24 18:00:00",83.1,6440000
"2016-05-25 18:00:00",84,8832926
"2016-05-26 18:00:00",84.4,34160
"2016-05-27 18:00:00",84.1,15696
"2016-05-30 18:00:00",84.1,18600
"2016-05-31 18:00:00",83.9,361563
"2016-06-01 18:00:00",83.8,915748
"2016-06-02 18:00:00",83.8,1007874
"2016-06-03 18:00:00",84,1736448
"2016-06-06 18:00:00",85.2,3975021
"2016-06-07 18:00:00",85.2,12074
"2016-06-08 18:00:00",85.1,1920000
"2016-06-09 18:00:00",85.05,500000
"2016-06-10 18:00:00",84.6,2331000
"2016-06-13 18:00:00",83.8,624675
"2016-06-14 18:00:00",83.7,322997
"2016-06-15 18:00:00",84.7,196411
"2016-06-16 18:00:00",84.7,0
"2016-06-20 18:00:00",84.3,356431
"2016-06-21 18:00:00",85,472250
"2016-06-22 18:00:00",84.1,666674
"2016-06-23 18:00:00",84.1,29622
"2016-06-24 18:00:00",83.2,1544000
"2016-06-27 18:00:00",81.2,2843104
"2016-06-28 18:00:00",82.4,1806663
"2016-06-29 18:00:00",82.1,271400
"2016-06-30 18:00:00",82.8,1889706
"2016-07-01 18:00:00",82.5,1586126
"2016-07-04 18:00:00",82.3,1702725
"2016-07-05 18:00:00",82.9,2811758
"2016-07-06 18:00:00",82.6,2168410
"2016-07-07 18:00:00",82.9,1002185
"2016-07-08 18:00:00",82.4,700000
"2016-07-11 18:00:00",82.9,808211
"2016-07-12 18:00:00",83.1,1701200
"2016-07-13 18:00:00",83.9,441229
"2016-07-14 18:00:00",84,11500
"2016-07-15 18:00:00",82.9,16049
"2016-07-18 18:00:00",83.9,34302
"2016-07-19 18:00:00",83,2708500
"2016-07-20 18:00:00",82.5,2944000
"2016-07-21 18:00:00",82.5,0
"2016-07-22 18:00:00",82.5,603299
"2016-07-25 18:00:00",82.35,45000
"2016-07-26 18:00:00",81.8,12623
"2016-07-27 18:00:00",81.9,461022
"2016-07-28 18:00:00",81.4,1750000
"2016-07-29 18:00:00",81.2,1178000
"2016-08-02 18:00:00",82,395000
"2016-08-03 18:00:00",82,0
"2016-08-04 18:00:00",82,300000
"2016-08-05 18:00:00",81.6,7874
"2016-08-08 18:00:00",81.2,1554000
"2016-08-09 18:00:00",80.8,43797
"2016-08-10 18:00:00",81.5,82874
"2016-08-11 18:00:00",80.8,25969
"2016-08-12 18:00:00",81.5,1350000
"2016-08-15 18:00:00",83.1,4112000
"2016-08-16 18:00:00",83.3,4494173
"2016-08-17 18:00:00",83.7,5176874
"2016-08-18 18:00:00",84.6,5211574
"2016-08-19 18:00:00",83.8,3102986
"2016-08-22 18:00:00",84.4,48616382
"2016-08-23 18:00:00",85,294839
"2016-08-24 18:00:00",86.9,5272932
"2016-08-25 18:00:00",87.55,2702564
"2016-08-26 18:00:00",88.1,706500
"2016-08-29 18:00:00",87.7,771990
"2016-08-30 18:00:00",87.65,1833492
"2016-08-31 18:00:00",88.5,2065000
"2016-09-01 18:00:00",88.4,6679398
"2016-09-02 18:00:00",90,5976075
"2016-09-05 18:00:00",90.95,2833937
"2016-09-06 18:00:00",91.5,3076149
"2016-09-07 18:00:00",94,5379000
"2016-09-08 18:00:00",94.4,4122968
"2016-09-09 18:00:00",93.9,1991604
"2016-09-12 18:00:00",92,4277046
"2016-09-13 18:00:00",92.1,1220000
"2016-09-14 18:00:00",90.9,3785000
"2016-09-15 18:00:00",92,2169280
"2016-09-16 18:00:00",91.55,1070000
"2016-09-19 18:00:00",91.2,2070900
"2016-09-20 18:00:00",91.2,7874
"2016-09-21 18:00:00",91.45,353937
"2016-09-22 18:00:00",92.1,932000
"2016-09-23 18:00:00",91.6,116120
"2016-09-26 18:00:00",90.8,2228762
"2016-09-27 18:00:00",90,2106348
"2016-09-28 18:00:00",92,3408364
"2016-09-29 18:00:00",92,2095000
