Date,DAX_Price,DAX_Open,DAX_High,DAX_Low,DAX_Volume,DJI_Price,DJI_Open,DJI_High,DJI_Low,DJI_Volume,FCHI_Price,FCHI_Open,FCHI_High,FCHI_Low,FCHI_Volume,FTSE_Price,FTSE_Open,FTSE_High,FTSE_Low,FTSE_Volume,IBEX_Price,IBEX_Open,IBEX_High,IBEX_Low,IBEX_Volume,IXIC_Price,IXIC_Open,IXIC_High,IXIC_Low,IXIC_Volume,N225_Price,N225_Open,N225_High,N225_Low,N225_Volume,NOMXIBB_Price,NOMXIBB_Open,NOMXIBB_High,NOMXIBB_Low,NOMXIBB_Volume,NOMXINOM_Price,NOMXINOM_Open,NOMXINOM_High,NOMXINOM_Low,NOMXINOM_Volume,NOMXIREAL_Price,NOMXIREAL_Open,NOMXIREAL_High,NOMXIREAL_Low,NOMXIREAL_Volume,OMXC20_Price,OMXC20_Open,OMXC20_High,OMXC20_Low,OMXC20_Volume,OMXI8_Price,OMXI8_Open,OMXI8_High,OMXI8_Low,OMXI8_Volume,OMXIGI_Price,OMXIGI_Open,OMXIGI_High,OMXIGI_Low,OMXIGI_Volume,OMXIMCPI_Price,OMXIMCPI_Open,OMXIMCPI_High,OMXIMCPI_Low,OMXIMCPI_Volume,OMXIPI_Price,OMXIPI_Open,OMXIPI_High,OMXIPI_Low,OMXIPI_Volume,OMXISCPI_Price,OMXISCPI_Open,OMXISCPI_High,OMXISCPI_Low,OMXISCPI_Volume,OMXS30_Price,OMXS30_Open,OMXS30_High,OMXS30_Low,OMXS30_Volume,PSI20_Price,PSI20_Open,PSI20_High,PSI20_Low,PSI20_Volume,SSMI_Price,SSMI_Open,SSMI_High,SSMI_Low,SSMI_Volume,STOXX50E_Price,STOXX50E_Open,STOXX50E_High,STOXX50E_Low,STOXX50E_Volume,VIX_Price,VIX_Open,VIX_High,VIX_Low,VIX_Volume
2014-05-15,9656.05,9741.25,9810.29,9631.57,133.90M,16446.81,16613.52,16622.9,16397.46,106.62M,4444.93,4497.13,4512.62,4438.49,144.23M,6840.89,6878.49,6894.88,6821.66,896.97M,10365.0,10616.5,10665.1,10323.4,409.94M,4069.29,4096.53,4098.25,4035.96,539.00M,14298.21,14280.51,14306.36,14190.27,132.57K,,,,,,,,,,,,,,,,704.35,710.03,710.71,702.01,-,1156.1,1163.06,1163.06,1155.33,-,379.62,380.78,381.22,379.62,-,54.96,55.03,55.13,54.89,-,832.52,835.07,836.03,832.52,-,165.57,166.98,166.98,165.57,-,1385.84,1381.05,1386.5,1376.5,117.60M,6889.55,6991.08,7120.09,6848.66,592.86M,8644.74,8620.51,8672.01,8616.08,57.05M,3163.22,3211.24,3224.29,3159.15,113.51M,13.17,12.73,13.77,12.72,-
2014-05-16,9629.1,9646.56,9670.9,9577.9,113.09M,16491.31,16447.32,16498.99,16414.32,119.33M,4456.28,4446.68,4456.31,4418.59,139.69M,6855.81,6840.89,6855.94,6813.5,985.98M,10478.7,10354.1,10494.9,10282.4,312.92M,4090.59,4070.35,4091.16,4044.27,469.90M,14096.59,14087.76,14108.44,14016.49,131.33K,,,,,,,,,,,,,,,,,,,,,1154.77,1156.83,1164.36,1154.28,-,379.35,379.84,381.59,379.12,-,54.89,54.98,55.28,54.85,-,831.92,833.01,836.84,831.43,-,165.76,165.76,166.63,165.58,-,1382.14,1381.57,1384.18,1377.4,82.71M,6897.8,6740.52,6916.71,6700.3,764.75M,8683.62,8648.11,8683.62,8625.11,59.67M,3172.72,3158.33,3175.25,3142.85,83.89M,12.44,13.31,13.66,12.26,-
2014-05-19,9659.39,9607.32,9676.52,9534.56,97.86M,16511.86,16490.35,16526.26,16442.12,82.18M,4469.76,4447.68,4476.41,4418.05,115.55M,6844.55,6855.81,6862.2,6804.31,744.48M,10425.5,10469.7,10526.0,10307.3,243.53M,4125.81,4080.33,4128.47,4075.7,401.44M,14006.44,14130.09,14150.5,13991.8,114.01K,,,,,,,,,,,,,,,,701.36,705.4,707.63,700.6,-,1153.08,1154.1,1154.1,1145.11,-,378.96,379.11,379.18,376.07,-,54.79,54.86,54.87,54.35,-,831.07,831.41,831.55,824.74,-,165.92,165.67,165.92,164.8,-,1379.92,1378.46,1382.42,1372.34,90.01M,6899.76,6896.13,6994.82,6843.36,363.24M,8646.02,8651.85,8664.33,8598.56,38.76M,3169.9,3169.26,3174.57,3134.76,51.51M,12.42,13.17,13.21,12.28,-
2014-05-20,9639.08,9644.8,9685.56,9613.91,67.59M,16374.31,16511.22,16511.22,16341.3,75.15M,4452.35,4459.09,4473.1,4445.73,89.70M,6802.0,6844.55,6848.36,6792.51,680.77M,10453.8,10418.4,10479.0,10401.6,245.81M,4096.89,4121.11,4124.86,4080.61,459.62M,14075.25,14088.45,14144.04,14038.06,123.11K,,,,,,,,,,,,,,,,707.3,702.04,707.56,701.38,-,1141.76,1156.02,1156.02,1141.28,-,376.68,379.44,379.44,376.43,-,54.39,54.89,54.89,54.38,-,826.08,832.12,832.12,825.52,-,165.65,165.92,165.92,165.3,-,1381.27,1380.82,1384.37,1380.01,82.67M,6896.2,6899.44,6942.19,6885.05,186.94M,8635.61,8651.47,8688.8,8628.95,40.75M,3163.93,3166.87,3175.8,3155.63,48.13M,12.96,12.69,13.3,12.32,-
2014-05-21,9697.87,9615.86,9709.91,9583.56,86.24M,16533.06,16376.17,16544.6,16376.17,76.73M,4469.03,4436.11,4473.28,4424.69,110.75M,6821.04,6802.0,6821.04,6782.8,733.75M,10531.4,10407.4,10547.5,10364.1,205.71M,4131.54,4105.96,4133.61,4103.61,417.63M,14042.17,13969.71,14054.24,13964.43,121.69K,,,,,,,,,,,,,,,,715.9,709.6,715.92,706.17,-,1142.61,1140.7,1145.2,1140.7,-,375.49,376.68,377.2,375.43,-,54.31,54.36,54.58,54.28,-,823.46,826.07,827.2,823.43,-,164.27,165.65,165.77,164.27,-,1385.86,1378.74,1389.05,1374.66,83.40M,6857.23,6865.86,6906.71,6827.66,208.32M,8655.9,8625.53,8670.66,8606.52,33.61M,3187.08,3156.91,3190.23,3143.56,60.37M,11.91,12.38,12.46,11.8,-
2014-05-22,9720.91,9731.45,9734.14,9689.13,63.70M,16543.08,16532.74,16565.39,16489.61,59.25M,4478.21,4473.56,4481.98,4451.78,97.41M,6820.56,6821.04,6846.57,6810.19,564.13M,10520.6,10552.1,10558.0,10474.9,205.29M,4154.34,4136.09,4164.85,4131.47,434.35M,14337.79,14188.28,14369.02,14147.55,160.31K,,,,,,,,,,,,,,,,719.2,716.16,722.1,716.16,-,1165.34,1161.88,1167.15,1161.88,-,379.42,378.5,379.87,378.5,-,55.13,54.88,55.19,54.88,-,832.09,830.07,833.07,830.07,-,163.59,164.27,164.52,163.59,-,1388.52,1387.11,1391.0,1384.11,73.93M,6877.68,6904.48,6907.22,6843.09,160.19M,8693.98,8667.07,8696.59,8637.38,29.73M,3187.63,3189.03,3192.57,3171.77,59.96M,12.03,11.93,12.09,11.68,-
2014-05-23,9768.01,9722.63,9779.59,9704.75,65.28M,16606.27,16544.49,16613.07,16544.49,61.34M,4493.15,4479.59,4495.76,4468.89,84.30M,6815.75,6820.56,6825.53,6793.47,485.85M,10558.9,10525.5,10576.5,10466.0,159.88M,4185.81,4159.78,4186.58,4148.3,387.93M,14462.17,14411.1,14528.04,14404.8,142.39K,,,,,,,,,,,,,,,,715.46,718.09,718.25,711.7,-,1154.1,1161.97,1161.97,1154.1,-,377.03,378.77,378.77,377.03,-,54.75,54.98,54.98,54.75,-,826.83,830.65,830.65,826.83,-,162.83,163.81,164.13,162.83,-,1392.28,1388.09,1392.3,1382.54,65.01M,6917.73,6861.37,6920.97,6857.69,157.87M,8703.84,8705.09,8722.08,8677.3,30.70M,3203.28,3189.08,3205.01,3178.56,44.09M,11.36,11.96,11.97,11.36,-
2014-05-26,9892.82,9826.91,9893.81,9821.68,53.85M,,,,,,4526.93,4504.26,4526.93,4496.43,53.06M,,,,,,10687.5,10593.8,10695.5,10576.3,141.44M,,,,,,14602.52,14592.6,14602.52,14531.32,106.87K,,,,,,,,,,,,,,,,722.31,717.42,722.62,717.42,-,1153.43,1150.92,1155.91,1144.51,-,375.92,376.54,376.57,374.64,-,54.62,54.66,54.68,54.43,-,824.41,825.77,825.82,821.6,-,162.12,162.84,162.88,161.33,-,1394.15,1396.07,1397.47,1393.57,43.88M,6988.01,6887.67,6992.88,6887.67,208.66M,8712.35,8705.59,8715.35,8696.61,18.52M,3240.39,3211.26,3240.39,3211.26,50.58M,,,,,
2014-05-27,9940.82,9893.33,9951.9,9879.64,79.80M,16675.5,16607.42,16688.69,16607.42,80.87M,4529.75,4516.11,4536.48,4511.46,94.16M,6844.94,6815.75,6857.1,6815.37,585.49M,10714.2,10669.3,10744.8,10659.4,208.49M,4237.07,4206.44,4237.07,4204.72,429.96M,14636.52,14589.79,14744.16,14588.68,129.37K,,,,,,,,,,,,,,,,723.53,723.57,724.19,721.4,-,1152.03,1153.1,1153.51,1149.31,-,375.64,375.92,375.99,375.13,-,54.59,54.61,54.65,54.49,-,823.8,824.42,824.55,822.66,-,161.91,162.13,162.25,161.82,-,1395.39,1394.01,1399.34,1389.03,62.38M,7058.23,7001.76,7065.84,6971.82,282.88M,8710.38,8712.35,8719.82,8674.06,30.93M,3244.28,3235.87,3249.69,3230.58,48.59M,11.51,11.69,11.84,11.5,-
2014-05-28,9939.17,9950.74,9957.87,9898.26,72.75M,16633.18,16674.98,16674.98,16620.22,62.48M,4531.63,4527.12,4536.83,4517.88,84.47M,6851.22,6844.94,6855.83,6833.61,577.49M,10757.2,10701.5,10757.2,10672.2,236.69M,4225.07,4234.96,4238.17,4216.89,406.89M,14670.95,14646.93,14717.29,14608.54,120.15K,,,,,,,,,,,,,,,,720.6,722.67,724.44,719.13,-,1163.33,1151.54,1163.33,1151.54,-,380.81,375.34,380.81,375.18,-,55.51,54.57,55.51,54.54,-,835.12,823.14,835.12,822.79,-,162.52,161.52,162.66,160.95,-,1392.85,1397.66,1397.72,1389.74,36.04M,7134.65,7070.08,7198.4,7058.82,446.08M,8706.5,8705.33,8718.93,8694.03,31.38M,3246.24,3242.16,3246.24,3233.37,46.93M,11.68,11.6,11.86,11.5,-
